user_id,product_id
6093,690
1172,709
5253,582
4021,782
6486,878
2385,285
1165,819
7528,789
5056,449
7199,809
9154,329
8705,90
1455,663
915,589
2919,718
3793,926
8141,960
9582,900
683,279
6877,793
8924,86
5559,662
669,884
9928,386
8880,909
6688,916
2158,673
9934,424
1741,472
2130,413
1750,161
3696,50
8841,66
6172,743
4751,908
2154,734
3320,392
7826,408
1712,954
4741,289
741,96
4951,672
1127,968
9765,454
8205,554
6155,780
910,23
6234,432
2924,426
5487,798
145,484
635,641
3192,5
3854,712
8284,739
5972,176
4863,572
2704,362
4957,625
5121,514
9947,849
8109,951
2019,580
9197,681
3769,914
5640,178
1243,564
9857,927
3699,54
4671,271
5309,991
3034,611
6560,324
5784,417
7490,693
9910,659
9744,430
4147,164
8004,133
7678,848
8971,585
2516,198
5354,922
9676,168
3800,310
6238,105
5960,452
2994,872
8195,996
8949,558
3121,532
5158,174
4673,317
2487,740
2826,778
8676,814
1606,211
3476,362
6313,895
5565,13
321,797
137,957
1506,70
4246,710
9789,96
7124,931
9680,938
2717,910
4473,442
9644,846
1455,661
2982,351
3389,711
2040,728
4572,123
2478,69
9908,332
62,180
2899,178
4150,89
4483,177
5356,438
6729,490
7290,387
224,809
3044,446
3081,34
6178,244
1446,982
398,485
3490,250
1670,499
5736,728
3396,691
9105,832
1581,212
5725,804
116,873
2475,59
5746,486
5242,976
2428,13
5058,224
6400,766
2008,18
9017,259
3717,154
6242,572
1495,404
5983,412
383,115
2768,32
5809,528
3868,480
1606,888
7507,235
8154,180
9251,54
5563,201
6463,978
4842,590
591,131
6468,661
8026,151
447,210
8506,250
2250,91
9920,636
2744,612
9996,959
3272,117
1516,834
3699,309
5386,69
3653,948
6399,198
7777,881
6365,332
3498,114
455,180
8615,85
1170,918
974,513
654,552
9805,283
6532,983
883,538
2453,264
8520,885
7687,216
3033,257
4312,831
3038,160
7338,427
310,465
7014,401
2214,50
5532,809
5243,544
676,195
576,404
9790,124
2286,310
8167,945
8659,869
5871,662
4867,179
5210,157
2811,602
4553,679
6553,749
5408,165
3260,885
4345,93
5256,673
6494,451
2063,521
6193,770
232,65
9396,379
6579,641
4399,77
4455,412
765,932
8929,18
7373,777
9247,371
7062,106
7930,829
9831,303
8440,468
5308,876
696,104
3979,36
1850,336
4652,329
9831,139
1401,278
4359,528
8556,763
815,104
9069,914
9448,155
2441,632
9243,91
6718,452
4463,254
335,694
5943,597
9697,414
4074,903
4749,123
4560,720
2742,812
4565,977
3105,818
5272,17
3878,609
1016,845
8680,369
3971,282
159,698
5221,598
4007,952
6573,956
1264,336
1354,426
5823,481
2396,974
3088,682
1258,913
6336,329
7469,515
7113,159
1534,836
8527,953
7379,947
7624,544
8812,974
4636,534
8100,656
4431,47
4433,72
8214,142
4843,52
5629,820
5358,980
8709,464
7871,317
3170,586
3574,231
2220,878
2963,623
8242,945
626,69
6109,254
2776,114
7842,126
3671,56
7387,998
4427,476
28,416
6060,573
2581,920
9244,618
8339,536
4339,678
9200,124
4286,187
3202,628
7670,63
617,691
1282,67
4126,276
2568,654
6898,712
31,107
5335,499
2170,394
1162,524
7129,131
9028,830
718,809
214,235
8541,291
2627,870
9604,578
5645,270
4615,52
4486,185
6401,526
1721,475
2534,18
4699,266
6095,326
9495,408
8915,402
947,790
2675,81
5709,405
4216,649
5614,976
7819,792
6327,12
1802,495
7240,406
8448,618
1842,293
1021,753
3096,361
7421,705
4198,257
6016,73
3340,602
1321,494
2458,400
2740,622
8256,452
728,906
8246,927
8500,244
1030,2
2179,850
7447,86
6643,421
7820,933
2805,653
430,410
308,818
4537,724
5514,872
3862,259
8366,948
7846,967
9060,248
6023,380
6600,899
7070,193
2112,948
6093,304
4733,298
2471,215
5046,791
4492,505
3092,710
3645,163
3224,911
6426,870
2822,998
7854,922
6206,83
1679,802
4143,44
5051,591
3135,387
3408,260
4889,509
7133,185
1172,27
351,89
5649,602
6717,903
8595,617
2127,4
7041,407
1647,715
2155,568
3621,286
1949,448
2193,294
6109,288
1846,694
1097,851
4637,685
507,610
3151,923
8790,420
5013,898
2674,40
6747,598
3740,4
7381,477
2703,761
9950,311
5565,609
5524,956
997,717
3739,49
4890,635
852,319
5803,221
9457,817
6387,695
8553,314
8043,361
6697,658
1517,706
2702,957
6787,941
6158,834
1312,151
3642,310
2143,762
5860,447
6405,541
1543,243
8292,122
9071,23
3953,33
7085,556
5986,596
8813,252
7733,954
8690,767
7859,621
8787,987
4302,45
1334,11
3134,214
7589,479
4407,737
4652,981
7696,786
1451,521
9306,819
3524,290
8162,717
9091,833
8125,808
268,732
3192,636
7616,233
4393,596
4221,370
2427,88
8468,521
9893,914
878,21
9651,430
2055,731
3897,874
6338,395
2369,972
2769,711
2873,51
1088,28
3158,213
3418,934
662,57
7548,135
227,88
1721,684
1699,50
7076,718
4914,323
8226,475
7762,131
8918,490
9985,318
6908,305
5077,212
4500,227
7195,277
4133,745
3563,795
1296,461
4371,49
5559,945
3311,751
9132,428
825,637
2577,869
7677,130
3675,718
8860,401
3843,901
571,94
4772,796
6904,69
6388,255
5959,347
3086,853
6899,350
6914,768
5157,94
9532,602
2386,91
7510,837
9524,374
6224,119
2340,853
5647,613
810,859
6554,915
8813,153
7012,106
1142,996
210,966
6883,282
9145,79
6196,367
9516,679
5172,396
9036,715
8602,653
8573,299
5176,933
1328,358
3669,916
4070,389
1074,973
1038,504
2099,242
3548,394
1679,486
7275,156
1917,399
8362,52
9499,504
2125,827
3582,261
6395,454
9866,768
2579,101
3901,559
8860,564
1632,511
2145,947
7999,936
2854,328
4841,303
760,414
4338,266
9094,100
5778,471
5658,312
6528,611
4404,799
9617,292
7828,102
846,242
4445,979
7946,275
2989,248
4590,794
5210,738
9473,746
7137,667
6517,248
6810,537
3419,65
2755,538
3076,769
9810,2
9586,918
5343,488
2502,424
4893,492
1733,252
5866,94
817,319
7792,439
5249,197
5748,435
4617,685
6798,373
3833,170
2718,742
3802,420
7376,838
4817,39
6828,715
7346,913
805,671
8763,258
1626,287
16,470
8511,638
9125,510
3733,975
3677,565
3030,558
1544,731
9600,78
5124,302
5030,938
4938,814
5505,160
3864,717
1000,48
9164,59
5896,576
6926,930
241,915
9701,805
5813,82
8300,600
578,484
4853,991
5649,830
1966,192
7858,747
5076,902
7858,145
7931,901
718,689
7276,93
1429,50
7410,730
3390,597
588,998
9555,253
5248,185
4534,910
9213,212
1112,310
2518,995
2079,276
5966,556
5447,139
9285,983
4717,367
124,273
1819,816
4900,964
4686,121
6360,646
9194,388
8615,174
5625,911
1616,107
393,902
7981,676
5974,26
3902,410
311,3
3401,446
2151,180
9380,173
5611,208
1548,902
9749,560
1785,736
6316,902
1657,402
8490,363
8266,900
